id,lon,lat
305,-0.925464,45.676244
306,-1.050769,45.62793
307,-1.351954,45.972849
308,-1.351954,45.972849
309,-1.351954,45.972849
310,-0.568038,45.480921
311,-0.568038,45.480921
312,-1.060593,45.64539
313,-1.060593,45.64539
314,-1.060593,45.64539
315,-1.392039,46.183592
316,-1.392039,46.183592
317,-1.392039,46.183592
318,-0.272705,45.243315
319,-0.272705,45.243315
320,-1.094403,46.152379
321,-0.663373,45.747971
322,-0.569505,45.373002
323,-1.029349,45.624614
324,-0.892793,45.943879
325,-1.064226,46.188736
326,-0.892793,45.943879
327,-0.892793,45.943879
328,-0.569505,45.373002
329,-0.569505,45.373002
330,-1.029349,45.624614
331,-1.367359,46.200984
332,-1.367359,46.200984
333,-1.367359,46.200984
334,-1.064226,46.188736
335,-1.064226,46.188736
336,-1.050769,45.62793
337,-1.029349,45.624614
338,-1.094403,46.152379
339,-0.548559,45.577977
340,-1.116179,46.185988
341,-0.548559,45.577977
342,-0.548559,45.577977
343,-1.276077,46.159822
344,-1.276077,46.159822
345,-1.276077,46.159822
346,-1.116179,46.185988
347,-1.116179,46.185988
348,-1.094403,46.152379
349,-0.517812,45.94568
350,-0.517812,45.94568
351,-0.517812,45.94568
352,-1.265068,45.91099
353,-1.265068,45.91099
354,-1.265068,45.91099
355,-1.050769,45.62793
356,-0.568038,45.480921
357,-0.31735,45.869989
358,-0.556037,45.717543
359,-0.496067,45.764361
360,-0.422257,45.774072
361,-0.422257,45.774072
362,-0.422257,45.774072
363,-0.529733,45.948627
364,-0.529733,45.948627
365,-0.529733,45.948627
366,-0.510211,45.940547
367,-0.510211,45.940547
368,-0.510211,45.940547
369,-0.556037,45.717543
370,-0.556037,45.717543
371,-1.317532,46.155851
372,-0.406388,45.284856
373,-0.406388,45.284856
374,-0.406388,45.284856
375,-0.96002,45.944355
376,-0.96002,45.944355
377,-0.96002,45.944355
378,-0.958623,45.934373
379,-0.958623,45.934373
380,-0.958623,45.934373
381,-0.936192,46.114931
382,-0.936192,46.114931
383,-0.496067,45.764361
384,-0.496067,45.764361
385,-0.505448,45.817534
386,-0.505448,45.817534
387,-1.378539,46.027521
388,-1.378539,46.027521
389,-0.929732,45.666839
390,-0.929732,45.666839
391,-1.01114,45.67263
392,-0.31735,45.869989
393,-1.01114,45.67263
394,-1.33143,46.19102
