,ope,consolidated_longitude,prix_kWh
542,Izivia,2.221831,0.3428571428571428
543,Izivia,2.31427,0.3428571428571428
544,Izivia,2.307748,0.3428571428571428
545,Izivia,2.313149,0.3428571428571428
546,Izivia,2.313149,0.3428571428571428
547,Izivia,2.313149,0.3428571428571428
548,Izivia,2.456492,0.1909090909090909
549,Izivia,2.313149,0.3428571428571428
550,Izivia,2.321975,0.3428571428571428
551,Izivia,2.321975,0.3428571428571428
552,Izivia,2.321975,0.3428571428571428
553,Izivia,2.321975,0.3428571428571428
554,Izivia,2.321975,0.3428571428571428
555,Izivia,2.321975,0.3428571428571428
556,Izivia,2.304591,0.3428571428571428
557,Izivia,2.304591,0.3428571428571428
558,Izivia,2.304591,0.3428571428571428
559,Izivia,2.304591,0.3428571428571428
560,Izivia,2.304591,0.3428571428571428
561,Izivia,2.31427,0.3428571428571428
562,Izivia,2.265278,0.1909090909090909
563,Izivia,2.456492,0.1909090909090909
564,Izivia,2.518227,0.1909090909090909
565,Izivia,2.326942,0.1909090909090909
566,Izivia,2.149957,0.3428571428571428
567,Izivia,2.149957,0.3428571428571428
568,Izivia,2.064108,0.1909090909090909
569,Izivia,2.064108,0.1909090909090909
570,Izivia,2.169688,0.1909090909090909
571,Izivia,2.169688,0.1909090909090909
572,Izivia,2.513673,0.1909090909090909
573,Izivia,2.513673,0.1909090909090909
574,Izivia,2.569549,0.1909090909090909
575,Izivia,2.569549,0.1909090909090909
576,Izivia,2.569549,0.1909090909090909
577,Izivia,2.569549,0.1909090909090909
578,Izivia,2.326942,0.1909090909090909
579,Izivia,2.288179,0.1909090909090909
580,Izivia,2.213168,0.1909090909090909
581,Izivia,2.288179,0.1909090909090909
582,Izivia,2.216118,0.1909090909090909
583,Izivia,2.216118,0.1909090909090909
584,Izivia,2.637631,0.325
585,Izivia,2.313813,0.3428571428571428
586,Izivia,2.313813,0.3428571428571428
587,Izivia,2.313813,0.3428571428571428
588,Izivia,2.313813,0.3428571428571428
589,Izivia,2.642232,0.1909090909090909
590,Izivia,2.642232,0.1909090909090909
591,Izivia,2.612309,0.1909090909090909
592,Izivia,2.612309,0.1909090909090909
593,Izivia,2.213168,0.1909090909090909
594,Izivia,2.307748,0.3428571428571428
595,Izivia,2.152096,0.3428571428571428
596,Izivia,2.307748,0.3428571428571428
597,Izivia,2.310159,0.1909090909090909
598,Izivia,2.545659,0.1909090909090909
599,Izivia,2.532549,0.1909090909090909
600,Izivia,2.532549,0.1909090909090909
601,Izivia,2.215126,0.1909090909090909
602,Izivia,2.215126,0.1909090909090909
603,Izivia,2.310159,0.1909090909090909
604,Izivia,2.317644,0.3428571428571428
605,Izivia,2.308363,0.3428571428571428
606,Izivia,2.317644,0.3428571428571428
607,Izivia,2.317644,0.3428571428571428
608,Izivia,2.317644,0.3428571428571428
609,Izivia,2.317644,0.3428571428571428
610,Izivia,2.308363,0.3428571428571428
611,Izivia,2.308363,0.3428571428571428
612,Izivia,2.545659,0.1909090909090909
613,Izivia,2.531936,0.1909090909090909
614,Izivia,2.531936,0.1909090909090909
615,Izivia,2.185283,0.1909090909090909
616,Izivia,2.185283,0.1909090909090909
617,Izivia,2.164518,0.1909090909090909
618,Izivia,2.164518,0.1909090909090909
619,Izivia,2.217007,0.1909090909090909
620,Izivia,2.217007,0.1909090909090909
621,Izivia,2.217007,0.1909090909090909
622,Izivia,2.217007,0.1909090909090909
623,Izivia,2.171623,0.325
624,Izivia,2.171623,0.325
625,Izivia,2.163266,0.1909090909090909
626,Izivia,2.163266,0.1909090909090909
627,Izivia,2.163266,0.1909090909090909
628,Izivia,2.163266,0.1909090909090909
629,Izivia,2.308363,0.3428571428571428
630,Izivia,2.308363,0.3428571428571428
631,Izivia,2.524608,0.1909090909090909
632,Izivia,2.152096,0.3428571428571428
633,Izivia,2.306583,0.3428571428571428
634,Izivia,2.306583,0.3428571428571428
635,Izivia,2.306583,0.3428571428571428
636,Izivia,2.152096,0.3428571428571428
637,Izivia,2.152096,0.3428571428571428
638,Izivia,2.152096,0.3428571428571428
639,Izivia,2.277644,0.3428571428571428
640,Izivia,2.308363,0.3428571428571428
641,Izivia,2.277644,0.3428571428571428
642,Izivia,2.277644,0.3428571428571428
643,Izivia,2.277644,0.3428571428571428
644,Izivia,2.277644,0.3428571428571428
645,Izivia,2.252027,0.3428571428571428
646,Izivia,2.31427,0.3428571428571428
647,Izivia,2.306583,0.3428571428571428
648,Izivia,2.306583,0.3428571428571428
649,Izivia,2.306583,0.3428571428571428
650,Izivia,2.304623,0.3428571428571428
651,Izivia,2.304623,0.3428571428571428
652,Izivia,2.304623,0.3428571428571428
653,Izivia,2.304623,0.3428571428571428
654,Izivia,2.304623,0.3428571428571428
655,Izivia,2.309161,0.3428571428571428
656,Izivia,2.309161,0.3428571428571428
657,Izivia,2.309161,0.3428571428571428
658,Izivia,2.309161,0.3428571428571428
659,Izivia,2.2987,0.3428571428571428
660,Izivia,2.2987,0.3428571428571428
661,Izivia,2.2987,0.3428571428571428
662,Izivia,2.2987,0.3428571428571428
663,Izivia,2.2987,0.3428571428571428
664,Izivia,2.524608,0.1909090909090909
665,Izivia,2.517099,0.1909090909090909
666,Izivia,2.297148,0.3428571428571428
667,Izivia,2.303511,0.3428571428571428
668,Izivia,2.301197,0.3428571428571428
669,Izivia,2.301197,0.3428571428571428
670,Izivia,2.301197,0.3428571428571428
671,Izivia,2.301197,0.3428571428571428
672,Izivia,2.301197,0.3428571428571428
673,Izivia,2.303511,0.3428571428571428
674,Izivia,2.303511,0.3428571428571428
675,Izivia,2.512814,0.1909090909090909
676,Izivia,2.303511,0.3428571428571428
677,Izivia,2.303511,0.3428571428571428
678,Izivia,2.227715,0.3428571428571428
679,Izivia,2.227715,0.3428571428571428
680,Izivia,2.240595,0.1909090909090909
681,Izivia,2.513482,0.1909090909090909
682,Izivia,2.306643,0.3428571428571428
683,Izivia,2.306643,0.3428571428571428
684,Izivia,2.306643,0.3428571428571428
685,Izivia,2.306643,0.3428571428571428
686,Izivia,2.306643,0.3428571428571428
687,Izivia,2.306643,0.3428571428571428
688,Izivia,2.294767,0.3428571428571428
689,Izivia,2.294767,0.3428571428571428
690,Izivia,2.294767,0.3428571428571428
691,Izivia,2.294767,0.3428571428571428
692,Izivia,2.294767,0.3428571428571428
693,Izivia,2.294767,0.3428571428571428
694,Izivia,2.297148,0.3428571428571428
695,Izivia,2.297148,0.3428571428571428
696,Izivia,2.297148,0.3428571428571428
697,Izivia,2.297148,0.3428571428571428
698,Izivia,2.297148,0.3428571428571428
699,Izivia,2.513482,0.1909090909090909
700,Izivia,2.512814,0.1909090909090909
701,Izivia,2.517099,0.1909090909090909
702,Izivia,2.203739,0.325
703,Izivia,2.156808,0.325
704,Izivia,2.156808,0.325
705,Izivia,2.53094,0.325
706,Izivia,2.53094,0.325
707,Izivia,2.219264,0.325
708,Izivia,2.219264,0.325
709,Izivia,2.203739,0.325
710,Izivia,2.604149,0.1909090909090909
711,Izivia,2.380766,0.1909090909090909
712,Izivia,2.380766,0.1909090909090909
713,Izivia,2.336956,0.1909090909090909
714,Izivia,2.336956,0.1909090909090909
715,Izivia,2.326929,0.1909090909090909
716,Izivia,2.326929,0.1909090909090909
717,Izivia,2.246242,0.325
718,Izivia,2.246242,0.325
719,Izivia,2.536884,0.325
720,Izivia,2.536884,0.325
721,Izivia,2.54441,0.325
722,Izivia,2.54441,0.325
723,Izivia,2.508051,0.1909090909090909
724,Izivia,2.508051,0.1909090909090909
725,Izivia,2.51808,0.325
726,Izivia,2.51808,0.325
727,Izivia,2.339881,0.325
728,Izivia,2.339881,0.325
729,Izivia,2.299287,0.325
730,Izivia,2.299287,0.325
