id_pompe,latitude,longitude,cp,autoroute,adresse,ville,automate-24-24
87270001,45.8655,1.2381,87270,False,52 Avenue de Limoges,Couzeix,False
87270002,45.8584,1.2429,87270,False, Avenue de Limoges,COUZEIX,False
87270004,45.8650,1.2380,87270,False,Avenue de Limoges,COUZEIX,True
87280001,45.9079,1.2925,87280,True,A20 AIRE DE BEAUNE LES MINES,LIMOGES,False
87280002,45.9140,1.2930,87280,True,AUTOROUTE A 20,Limoges,False
87280003,45.8700,1.2684,87280,False,Rue Henry Giffard,LIMOGES,False
87280004,45.9065,1.2973,87280,False, Avenue Georges Guingouin,LIMOGES,False
87280005,45.8810,1.2920,87280,True,ZAC Beaubreuil,LIMOGES,True
87280007,45.8746,1.2887,87280,True,AIRE DE BEAUNE LES MINES,Limoges,False
87280008,45.9070,1.2970,87280,False,25 Avenue Georges Guingouin,LIMOGES,False
87290001,46.1360,1.2680,87290,False,Avenue de Lorraine,Châteauponsac,True
87300001,46.1297,1.0540,87300,False,ROUTE DU DORAT,BELLAC,False
87300002,46.1260,1.0440,87300,False,18 Route de Poitiers,BELLAC,True
87300003,46.1290,1.0550,87300,False,1 rue René Coty,Bellac,False
87310001,45.7693,0.9641,87310,False,Rue de la Borie,Saint Laurent Sur Gorre,True
87320001,46.2320,0.8980,87320,False,23 BEAULIEU,Bussière-Poitevine,True
87350001,45.8275,1.2918,87350,False,2 Avenue Léonard Limosin,Panazol,False
87350002,45.8300,1.2970,87350,False,5 Avenue du Président Carnot,Panazol,False
87350003,45.8320,1.3040,87350,False,Avenue Jean Zay,PANAZOL,True
87380002,45.6190,1.4380,87380,False,"37, route de la Gare",MAGNAC-BOURG,True
87400003,45.8325,1.4980,87400,False, Avenue Jean Moulin,SAINT-LéONARD-DE-NOBLAT,False
87400004,45.8610,1.5150,87400,False,EYCOUVEAUX,Saint-Léonard-de-Noblat,False
87400005,45.9042,1.5945,87400,False,2 RUE EMILE DOURDET,Sauviat-sur-Vige,True
87410001,45.8710,1.3130,87410,False,Avenue Jean Giraudoux,LE PALAIS-SUR-VIENNE,False
87410002,45.8560,1.3094,87410,False,Avenue de Limoges,Le Palais-sur-Vienne,False
87410003,45.8728,1.3113,87410,False,3 avenue jean Giraudoux,Le Palais-sur-Vienne,True
87430001,45.8500,1.1320,87430,False,RN141,VERNEUIL-SUR-VIENNE,True
87430003,45.8558,1.1459,87430,False,les betoulles,VERNEUIL SUR VIENNE,False
87440001,45.7100,0.7630,87440,False,Route de Rochechouart,SAINT-MATHIEU,False
87500001,45.5070,1.2020,87500,False,13 Avenue de Périgueux,Saint-Yrieix-la-Perche,True
87500002,45.5119,1.2072,87500,False,Le Clos de Bart Rte de Limoges,SAINT-YRIEIX-LA-PERCHE,False
87500003,45.5160,1.1990,87500,False,AVENUE JEAN PIERRE TIMBAUT,SAINT-YRIEIX-LA-PERCHE,True
87500004,45.5000,1.2000,87500,False,Route de Brive-Glandon,Saint-Yrieix-la-Perche,False
87500005,45.5040,1.2010,87500,False,Avenue de Périgueux,SAINT-YRIEIX-LA-PERCHE,True
87500006,45.5223,1.2103,87500,False,Clos Bart,Saint-Yrieix-la-Perche,False
87510001,45.9200,1.1690,87510,False,Rue des Rives,NIEUL,True
87520001,45.9364,1.0277,87520,False,LA LANDE,Oradour-sur-Glane,False
87520002,45.9320,1.0340,87520,False,60 rue de la lande,Oradour-sur-Glane,True
87570002,45.8988,1.3118,87570,False,87 rue jean monet,RILHAC RANCON,False
87600001,45.8207,0.8257,87600,False,4 ROUTE DE NONTRON,Rochechouart,False
87600002,45.8300,0.8310,87600,False,Route de Saint Junien,ROCHECHOUART,True
87600003,45.8350,0.8370,87600,False,8 RUE FRANCOIS MITTERRAND,ROCHECHOUART,False
87600004,45.8327,0.8314,87600,False,"ZAC de la fabrique, Rue de la Gare",Rochechouart,True
87700001,45.7950,1.1260,87700,False,3 Avenue Pasteur,Aixe-sur-Vienne,True
87700004,45.7909,1.1354,87700,False,RUE JEANNE PICHENAUD,Aixe-sur-Vienne,False
87700005,45.7980,1.1240,87700,False,zac du grand rieux,Aixe-sur-Vienne,True
87800002,45.6793,1.1863,87800,False,route de la meyze,Nexon,False
87800003,45.7074,1.2414,87800,False,"""LE VIEUX ST MAURICE""",ST MAURICE LES BROUSSES,True
88000001,48.1606,6.4509,88000,False,30 Rue de Remiremont,ÉPINAL,False
88000002,48.1852,6.4705,88000,False,Avenue de Saint-Dié,Épinal,False
88000003,48.1870,6.4758,88000,False,50 Avenue de Saint-Dié,Épinal,False
88000005,48.1916,6.4401,88000,False,47 avenue de la fontenelle,ÉPINAL,False
88000007,48.1869,6.4419,88000,False,2 Avenue de la Fontenelle,Épinal,False
88000009,48.1920,6.4400,88000,False,"47, AVENUE DE LA FONTENELLE",EPINAL,True
88000010,48.1600,6.4510,88000,False,51 rue de Remiremont,EPINAL,False
88000011,48.1600,6.4510,88000,False,51 route de Remiremont,EPINAL,True
88025001,48.2000,6.4800,88000,False,33 ROUTE DU SAUT LE CERF,EPINAL - JEUXEY,True
88100001,48.2880,6.9290,88100,False,18 Rue d'Einal,SAINT-DIé-DES-VOSGES,False
88100003,48.2928,6.9419,88100,False,4 Avenue de Verdun,SAINT-DIé-DES-VOSGES,False
88100004,48.2930,6.9350,88100,False,5 Rue Marcel Mauss,Saint-Dié-des-Vosges,True
88100005,48.2780,6.9610,88100,False,116 Rue d'Alsace,SAINT-DIé-DES-VOSGES,True
88100006,48.2720,6.9700,88100,False,183 Rue Ernest Charlier,SAINTE-MARGUERITE,True
88100007,48.2880,6.9280,88100,False,18 Rue d'Épinal,Saint-Dié-des-Vosges,True
88100008,48.2930,6.9420,88100,False,4 AVENUE DE VERDUN,SAINT-DIE-DES-VOSGES,False
88110002,48.4070,6.8580,88110,False,Avenue du 21ème B.C.P.,Raon-l'Étape,True
88110003,48.4046,6.8419,88110,False,RUE DU HAGIS,RAON-L'ÉTAPE,False
88120001,48.0120,6.7150,88120,False,11 Rue du Général de Gaulle,VAGNEY,False
88130001,48.3728,6.2822,88130,False,10 Rue René Didierjean,CHARMES,False
88130002,48.3710,6.2920,88130,False,RN 57,CHARMES,True
88130004,48.3753,6.2827,88130,False,41 Route de Nancy,Charmes,False
88140001,48.1878,5.8936,88140,False,AV DIVISION LECLERC,CONTREXéVILLE,False
88140002,48.2002,5.8448,88140,False,162 rOUte de Contrexeville,BULGNéVILLE,False
88140003,48.1885,5.8834,88140,False,Rue François de Neufchâteau,Contrexéville,False
88140004,48.1890,5.9020,88140,False,630 Avenue des Pierrottes,CONTREXéVILLE,False
88140006,48.1880,5.8940,88140,False,AV DIVISION LECLERC,CONTREXEVILLE,True
88150001,48.2459,6.4228,88150,False,27 rue d'Alsace,THAON-LES-VOSGES,False
88150002,48.2476,6.4231,88150,False,58 RUE D ALSACE,THAON-LES-VOSGES,False
88150003,48.2610,6.4100,88150,False,196 Rue de Lorraine,THAON-LES-VOSGES,True
88150004,48.2468,6.4247,88150,False,Rue d'Alsace,Thaon-les-Vosges,True
88160001,47.8810,6.7640,88160,False,20 Avenue de Verdun,LE THILLOT,False
88160002,47.8830,6.7590,88160,False,35 Avenue de Verdun,LE THILLOT,False
88160003,47.8890,6.7750,88160,False,Route Ménil,LE THILLOT,False
88170002,48.2644,5.8633,88170,True,AUT A 31  AIRE DE LORRAINE,Sandaucourt,False
88170003,48.2990,5.8420,88170,False,11 Rue Pierre de Coubertin,Châtenois,True
88170004,48.2680,5.8610,88170,True,Aire de Lorraine Sandaucourt Trel,SANDAUCOURT,False
88170005,48.2987,5.8498,88170,False,71 ZI LE NEUILLY,Châtenois,False
88170006,48.2666,5.8637,88170,True,AUT.A31-AIRE DE LORRAINE SANDAUCOURT-LES RAPPES,SANDAUCOURT,False
88190001,48.1910,6.4190,88190,False,Rue du Général Leclerc,Golbey,True
88190003,48.1763,6.4286,88190,False,Rue des Forges,GOLBEY,False
88200001,48.0040,6.6130,88200,False,26 ROUTE DE BUSSANG,REMIREMONT,True
88200002,48.0200,6.6150,88200,False,41 rue de la Moselotte,Saint-Étienne-lès-Remiremont,False
88200004,48.0495,6.5821,88200,False,AIRE LA CROIX ST JACQUES / RN 57,SAINT-NABORD,False
88200006,48.0171,6.6153,88200,False,La Chaume,Saint-Étienne-lès-Remiremont,False
88200008,47.9570,6.8280,88310,False,Place de la Gare,CORNIMONT,True
88200009,48.0226,6.5808,88200,False,ROUTE DE ST ANNNE,Saint-Nabord,False
